,date,extend,id,days_from_start,month,day_of_week,cat_id,prate_avg,csdsf_avg,csdlf_avg,csulf_avg,dswrf_avg,dlwrf_avg,uswrf_avg,ulwrf_avg,runof_avg,sst_avg,sf,air_avg,shum_avg,csusf_avg,cslnet_avg,cssnet_avg,lnet_avg,snet_avg
47,1985/12/1,13.04993333,1,2526,12,6,1,2.506505013,242.9058228,262.4468079,245.4134521,194.8879547,285.7180176,53.46477509,347.8861694,6.61E+19,11.79338169,16,277.0272827,0.007142649,58.17787933,17.0333558,184.7279435,-62.1681518,141.4231796
48,1986/1/1,14.889625,1,2557,1,2,1,2.511882305,236.1761932,261.2956848,245.0104065,187.6303253,284.2141113,46.6342659,345.8446045,6.61E+19,11.76302719,2,276.4378967,0.007161191,50.92191315,16.2852783,185.2542801,-61.6304932,140.9960594
49,1986/2/1,15.78485714,1,2588,2,5,1,2.493829966,216.919632,262.1008301,244.3254089,170.5518036,284.9043884,35.23853683,346.2301025,6.61E+19,11.82665157,17.8,276.4350891,0.00721193,39.40636063,17.7754212,177.5132714,-61.3257141,135.3132668
50,1986/3/1,15.90946667,1,2616,3,5,1,2.549777269,200.5442505,262.4644775,243.7446442,156.6488037,285.6874084,27.75126648,346.296051,6.61E+19,11.85716248,3,276.0991516,0.007325809,31.9931736,18.7198333,168.5510769,-60.6086426,128.8975372
51,1986/4/1,15.0588,1,2647,4,1,1,2.558220863,202.7098999,266.9221497,245.2657776,160.567749,289.973999,33.92670822,351.398407,6.61E+19,11.93375301,13.5,277.2727356,0.007462648,38.50625992,21.6563721,164.20364,-61.424408,126.6410408
52,1986/5/1,13.3795625,1,2677,5,3,1,2.605237007,213.3793488,274.8210144,249.3503571,168.7471313,300.3721313,38.60095215,360.9267578,6.61E+19,12.08202362,0,279.3633728,0.00775308,44.92614746,25.4706573,168.4532013,-60.5546265,130.1461792
53,1986/6/1,11.97593333,1,2708,6,6,1,2.733288527,218.2988739,280.7697144,251.5961761,167.7430878,307.3969421,33.82130432,365.7801514,6.61E+19,12.37720013,0,280.3483582,0.008136734,42.09666824,29.1735383,176.2022057,-58.3832093,133.9217835
54,1986/7/1,10.14646667,1,2738,7,1,1,2.769570827,213.5913696,283.3663025,251.938385,161.3135529,309.8431091,29.47206879,366.9233093,6.61E+19,12.76454258,0,280.6563416,0.008408383,37.95573807,31.4279175,175.6356315,-57.0802002,131.8414841
55,1986/8/1,7.9795625,1,2769,8,4,1,2.719074011,202.8002319,281.2616272,250.9780884,153.5951996,307.9304199,25.24582481,365.4105835,6.61E+19,12.95641327,0,280.3054504,0.008352232,31.96143341,30.2835388,170.8387985,-57.4801636,128.3493748
56,1986/9/1,7.410666667,1,2800,9,0,1,2.644481421,195.9685974,273.6034241,247.7793121,150.9907532,299.2070618,24.08754158,358.6096802,6.61E+19,12.80226898,0,278.7709045,0.007887759,28.91923332,25.824112,167.0493641,-59.4026184,126.9032116
